Pokemon,EigenCentrality,Betweenness,Core
Magneton,0.12329403794961008,1.903619364581807e-4,4
Sneasel,0.11563197893779636,0.006477980846704361,4
Stoutland,0.11526423940275754,0.006980966570564295,4
Weezing-Galar,0.11132373864365948,7.859110053340042e-4,4
Volcarona,0.11034718014353036,0.009243695220650001,4
Baxcalibur,0.10492716403399965,0.022372549182208438,4
Landorus,0.09895023293538924,0.003293057256312611,4
Cresselia,0.09680089950229565,0.0015038531553304877,4
Lycanroc-Dusk,0.0954528374572913,4.7622035199674953e-4,4
Magmortar,0.08847751952083165,6.881961778345366e-4,4
Klefki,0.08276594571097447,0.005471370000887619,4
Electrode,0.060351920998484104,0.0011429087414459214,4
Meowscarada,0.05861965652107698,0.0015340905426236592,4
Flygon,0.054700374812808754,0.001436261237735667,4
Ting-Lu,0.1778741239723139,0.004648249656086191,3
Thundurus-Therian,0.1548509092162076,3.561915081622517e-4,3
Latias,0.15369115849802714,0.009691274586497205,3
Shuckle,0.15326970499295758,0.018203636594824844,3
Cinderace,0.14956816736540055,0,3
Seismitoad,0.14222029551675847,8.874035866547618e-4,3
Absol-Mega,0.13591927876573373,0.0037225156891959013,3
Iron_Valiant,0.12349802332151572,0.004905459407113785,3
Iron_Leaves,0.11721611889578097,0,3
Keldeo,0.11430574333084322,0.0010012276164246905,3
Terrakion,0.11118324509061553,0,3
Iron_Bundle,0.1080176654634323,7.404781407799925e-4,3
Sandslash,0.1055696636872477,0,3
Gastrodon,0.10494172595003592,0.013176544264371513,3
Typhlosion,0.10439197915592958,0,3
Zamazenta-Crowned,0.1042384150300742,1.6769541353043994e-4,3
Kyurem-Black,0.09837059765163822,2.7287715219450283e-5,3
Roserade,0.09773382566520677,0.006301525120820412,3
Dusclops,0.0972059826404009,9.349312478121904e-5,3
Whimsicott,0.09708860624597251,4.769644550221551e-4,3
Chatot,0.09573896760687567,4.1619790270164687e-4,3
Manaphy,0.09319602770719793,4.5277761653218784e-4,3
Komala,0.09319428198104687,4.426421794506778e-4,3
Froslass,0.09021000971229304,0.001216022098938451,3
Iron_Moth,0.08901845570331643,5.074629066037902e-4,3
Latios,0.08345382990422946,0.008611075022812411,3
Hippowdon,0.07947189817317588,0.005051578625038891,3
Kartana,0.07919457651634139,4.571626589389404e-4,3
Chansey,0.0755104285834771,1.9865456679759807e-4,3
Ambipom,0.07489698940717765,6.081262248906064e-5,3
Pangoro,0.07365639574931403,3.67440307650443e-4,3
Gigalith,0.0729624234180828,0.006486587591829365,3
Sliggoo-Hisui,0.0628795681732459,2.207912827869872e-4,3
Samurott-Hisui,0.06269822539200773,3.1088149739104637e-4,3
Machamp,0.05067851515366092,0.0013701812593087915,3
Heliolisk,0.04975901295666358,0.007977065041556831,3
Volcanion,0.04686132756850516,0.007092479413545181,3
Bisharp,0.04625410779837856,0.0010758766462022978,3
Kecleon,0.04320290569782875,1.7660999114531363e-4,3
Virizion,0.03577774304500585,0.00114645614442445,3
Thundurus,0.03419638195268715,0.010083331720877432,3
Rillaboom,0.0333052876480121,6.578820069271104e-4,3
Weavile,0.02962816850152768,0.02209951432828312,3
Dragonite,0.028486109911733563,0.0072028949488751,3
Hawlucha,0.027729378919032013,3.42209212006623e-4,3
Zangoose,0.023504301654098593,0,3
Illumise,0.11387847298467704,0,2
Hariyama,0.09281910451880139,3.869894158394767e-4,2
Lycanroc,0.08887639548005438,0,2
Naclstack,0.08801143252217819,0,2
Vanilluxe,0.08643770114849145,1.3544629554381685e-4,2
Orbeetle,0.08597813990335187,0,2
Qwilfish,0.08584161215608997,0,2
Tangela,0.0816560725113309,0,2
Ferroseed,0.07964557713366567,0,2
Purugly,0.07815518394528745,0,2
Aegislash,0.07358333423912154,1.4028366324181035e-4,2
Tyranitar,0.07188858016481922,3.7494974512447093e-4,2
Cinccino,0.07100904630287957,0,2
Regieleki,0.06908516358238438,0,2
